CD,STATION,ICAO,IATA,SYNOP,LATdeg,LATmin,LONdeg,LONmin,ELEV,M,N,V,U,A,C,PRIORITY,COUNTRY CODE,LAT,LON
,OREBRO (PRIVATE),ESOE,ORB,,59,13N,015,03E,57,X,,T,,,,7.0,SE,59.21666666666667,15.05
,ORNSKOLDSVIK ARP,ESNO,OER,,63,24N,018,58E,100,X,,T,,,,6.0,SE,63.4,18.966666666666665
,OSTERSUND/FROSON,ESNZ,OSD,,63,11N,014,30E,360,X,,T,,,,6.0,SE,63.18333333333333,14.5
,PAJALA,ESUP,PJA,,67,15N,023,04E,164,X,,,,,,8.0,SE,67.25,23.066666666666666
,RONNEBY (SWE-AFB,ESDF,RNB,,56,16N,015,16E,52,X,,T,,,,6.0,SE,56.266666666666666,15.266666666666667
,SALEN/SCANDANAVI,ESKS,,,61,10N,012,50E,503,X,,T,,,,7.0,SE,61.166666666666664,12.833333333333334
,SATENAS (SWE-AFB,ESIB,,,58,25N,012,42E,51,X,,T,,,,7.0,SE,58.416666666666664,12.7
,SILJAN/MORA,ESKM,MXX,,60,58N,014,31E,184,X,,,,,,7.0,SE,60.96666666666667,14.516666666666667
,SKAVSTA/STOCKHO,ESKN,NYO,,58,47N,016,55E,41,X,,T,,,,6.0,SE,58.78333333333333,16.916666666666668
,SKELLEFTEA AIRPO,ESNS,SFT,,64,37N,021,04E,41,X,,T,,,,6.0,SE,64.61666666666666,21.066666666666666
,SKOVDE AIRPORT,ESGR,KVB,,58,27N,013,58E,95,X,,,,,,7.0,SE,58.45,13.966666666666667
,SODERHAMN (SWE-A,ESNY,SOO,02376,61,16N,017,06E,36,X,,,,,,7.0,SE,61.266666666666666,17.1
,STOCKHOLM/ARLAND,ESSA,ARN,,59,39N,017,56E,36,X,,T,,,,6.0,SE,59.65,17.933333333333334
,STOCKHOLM/BROMMA,ESSB,BMA,,59,21N,017,56E,14,X,,T,,,,6.0,SE,59.35,17.933333333333334
,STORUMAN,ESUD,SQO,,64,58N,017,42E,281,X,,,,,,8.0,SE,64.96666666666667,17.7
,SUNDSVALL/HARNOS,ESNN,SDL,,62,31N,017,26E,4,X,,T,X,,,6.0,SE,62.516666666666666,17.433333333333334
,SVEG,ESND,EVG,,62,03N,014,25E,352,X,,,,,,8.0,SE,62.05,14.416666666666666
,TORSBY,ESST,TYF,,60,09N,012,59E,110,X,,,,,,8.0,SE,60.15,12.983333333333333
,TROLLHATTAN (PVT,ESGT,THN,,58,19N,012,20E,40,X,,T,,,,7.0,SE,58.31666666666667,12.333333333333334
,UMEA AIRPORT,ESNU,UME,,63,47N,020,17E,8,X,,T,,,,6.0,SE,63.78333333333333,20.283333333333335
,UPPSALA (SWE-AFB,ESCM,,,59,53N,017,36E,21,X,,T,,,,7.0,SE,59.88333333333333,17.6
,VASTERAS/HASSLO,ESOW,VST,,59,35N,016,38E,7,X,,T,,,,6.0,SE,59.583333333333336,16.633333333333333
,VAXJO/KRONOBERG,ESMX,VXO,,56,55N,014,43E,176,X,,T,,,,6.0,SE,56.916666666666664,14.716666666666667
,VAXJO/URASA (AFB,ESFU,,02640,56,52N,014,48E,166,X,,,,,,7.0,SE,56.86666666666667,14.8
,VIDSEL (SWE-AFB),ESPE,,,65,53N,020,09E,182,X,,T,,,,7.0,SE,65.88333333333334,20.15
,VILHELMINA,ESNV,VHM,,64,35N,016,50E,348,X,,,,,,8.0,SE,64.58333333333333,16.833333333333332
,VISBY AERO STATI,ESQV,,02591,57,38N,018,21E,47,X,,,X,,,7.0,SE,57.63333333333333,18.35
,VISBY AIRPORT,ESSV,VBY,,57,40N,018,21E,38,X,,T,,,,6.0,SE,57.666666666666664,18.35
,KAUNAS,EYKA,KUN,,54,58N,024,05E,68,X,,T,,,,6.0,LT,54.96666666666667,24.083333333333332
,PALANGA INTL,EYPA,PLQ,26502,55,58N,021,05E,15,X,,T,,,,6.0,LT,55.96666666666667,21.083333333333332
,SIAULIAI INTL,EYSA,SQQ,,55,54N,023,24E,135,X,,T,,,,6.0,LT,55.9,23.4
,VILNIUS INTL,EYVI,VNO,26730,54,38N,025,17E,180,X,,T,,,,6.0,LT,54.63333333333333,25.283333333333335
,KUKES,LAKU,KFZ,13610,42,02N,020,25E,354,X,,T,,,,7.0,AL,42.03333333333333,20.416666666666668
,TIRANA,LATI,TIA,13615,41,25N,019,43E,32,X,,T,,,,6.0,AL,41.416666666666664,19.716666666666665
